time,logger,level,database,message,exception
2013-09-09 00:01:23.8977,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 1, for: ReducingExecuter, will wait for additional work",
2013-09-09 00:01:24.0197,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 1, for: IndexingExecuter, will wait for additional work",
2013-09-09 00:09:14.4607,Raven.Database.Indexing.WorkContext,Debug,<system>,Incremented work counter to 2 because: PUT Raven/Databases/EmberTinkererDB,
2013-09-09 00:09:14.4607,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 2, for: ReducingExecuter, will wait for additional work",
2013-09-09 00:09:14.4607,Raven.Database.DocumentDatabase,Debug,<system>,Put document Raven/Databases/EmberTinkererDB with etag 01000000-0000-0001-0000-000000000001,
2013-09-09 00:09:14.4607,Raven.Database.Server.HttpServer,Debug,,Request #  20: PUT     -   756 ms - <system>   - 200 - /admin/databases/EmberTinkererDB,
2013-09-09 00:09:14.5357,Raven.Database.Server.HttpServer,Debug,,Request #  21: GET     -    44 ms - <system>   - 200 - /stats?noCache=-1645213718,
2013-09-09 00:09:14.7297,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,<system>,Found a total of 1 documents that requires indexing since etag: 00000000-0000-0000-0000-000000000000: (Raven/Databases/EmberTinkererDB),
2013-09-09 00:09:14.8858,Raven.Database.Impl.DocumentCacher,Info,EmberTinkererDB,"MemoryCache Settings:
  PhysicalMemoryLimit = 99
  CacheMemoryLimit    = 3159359488
  PollingInterval     = 00:02:00",
2013-09-09 00:09:14.9498,Raven.Database.Impl.DocumentRetriever,Debug,,Trigger Raven.Database.Plugins.Builtins.FilterRavenInternalDocumentsReadTrigger asked us to ignore Raven/Databases/EmberTinkererDB,
2013-09-09 00:09:14.9498,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,<system>,"After read triggers executed, 1 documents remained",
2013-09-09 00:09:15.0088,Raven.Database.Indexing.WorkContext,Debug,EmberTinkererDB,"No work was found, workerWorkCounter: 0, for: IndexingExecuter, will wait for additional work",
2013-09-09 00:09:15.0088,Raven.Database.Indexing.WorkContext,Debug,EmberTinkererDB,"No work was found, workerWorkCounter: 0, for: ReducingExecuter, will wait for additional work",
2013-09-09 00:09:15.0498,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,<system>,"Going to index 1 documents in IndexName: Raven/DocumentsByEntityName, LastIndexedEtag: 00000000-0000-0000-0000-000000000000: (Raven/Databases/EmberTinkererDB)",
2013-09-09 00:09:15.1158,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,,Indexing 1 documents for index: Raven/DocumentsByEntityName. (Raven/Databases/EmberTinkererDB),
2013-09-09 00:09:15.3768,Raven.Database.Server.HttpServer,Debug,,Request #  22: GET     -    45 ms - <system>   - 200 - /databases?pageSize=1024&noCache=-1462193699,
2013-09-09 00:09:15.7008,Raven.Database.Indexing.Index.Indexing,Debug,,Indexed 0 documents for Raven/DocumentsByEntityName,
2013-09-09 00:09:15.7328,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,,"After indexing 1 documents, the new last etag for is: 01000000-0000-0001-0000-000000000001 for Raven/DocumentsByEntityName",
2013-09-09 00:09:15.8199,Raven.Database.Indexing.WorkContext,Debug,,Incremented work counter to 3 because: WORK BY IndexingExecuter,
2013-09-09 00:09:15.8199,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 3, for: ReducingExecuter, will wait for additional work",
2013-09-09 00:09:15.8199,Raven.Database.Indexing.WorkContext,Debug,,"No work was found, workerWorkCounter: 3, for: IndexingExecuter, will wait for additional work",
2013-09-09 00:09:15.9599,Raven.Database.Storage.IndexDefinitionStorage,Info,EmberTinkererDB,"New index Raven%2fDocumentsByEntityName:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using System.Globalization;
using System.Text.RegularExpressions;
using Raven.Database.Indexing;


public class Index_Raven_2fDocumentsByEntityName : Raven.Database.Linq.AbstractViewGenerator
{
	public Index_Raven_2fDocumentsByEntityName()
	{
		this.ViewText = @""from doc in docs 
let Tag = doc[""""@metadata""""][""""Raven-Entity-Name""""]
select new { Tag, LastModified = (DateTime)doc[""""@metadata""""][""""Last-Modified""""] };"";
		this.AddMapDefinition(docs => 
			from doc in docs
			let Tag = doc[""@metadata""][""Raven-Entity-Name""]
			select new {
				Tag,
				LastModified = (DateTime)doc[""@metadata""][""Last-Modified""],
				__document_id = doc.__document_id
			});
		this.AddField(""LastModified"");
		this.AddField(""__document_id"");
		this.AddField(""Tag"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using System.Globalization;
using System.Text.RegularExpressions;
using Raven.Database.Indexing;


public class Index_Raven_2fDocumentsByEntityName : Raven.Database.Linq.AbstractViewGenerator
{
	public Index_Raven_2fDocumentsByEntityName()
	{
		this.ViewText = @""from doc in docs 
let Tag = doc[""""@metadata""""][""""Raven-Entity-Name""""]
select new { Tag, LastModified = (DateTime)doc[""""@metadata""""][""""Last-Modified""""] };"";
		this.AddMapDefinition(docs => 
			from doc in docs
			let Tag = doc[""@metadata""][""Raven-Entity-Name""]
			select new {
				Tag,
				LastModified = (DateTime)doc[""@metadata""][""Last-Modified""],
				__document_id = doc.__document_id
			});
		this.AddField(""LastModified"");
		this.AddField(""__document_id"");
		this.AddField(""Tag"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}
",
2013-09-09 00:09:15.9599,Raven.Database.Indexing.IndexStorage,Debug,EmberTinkererDB,Creating index Raven/DocumentsByEntityName with encoded name Raven/DocumentsByEntityName,
2013-09-09 00:09:15.9599,Raven.Database.Indexing.Index.Indexing,Debug,EmberTinkererDB,Creating index for Raven/DocumentsByEntityName,
2013-09-09 00:09:15.9599,Raven.Database.Indexing.WorkContext,Debug,EmberTinkererDB,Incremented work counter to 1 because: PUT INDEX Raven/DocumentsByEntityName,
2013-09-09 00:09:15.9599,Raven.Database.Indexing.WorkContext,Debug,EmberTinkererDB,"No work was found, workerWorkCounter: 1, for: ReducingExecuter, will wait for additional work",
2013-09-09 00:09:15.9599,Raven.Database.Indexing.WorkContext,Debug,EmberTinkererDB,"No work was found, workerWorkCounter: 1, for: IndexingExecuter, will wait for additional work",
2013-09-09 00:09:15.9599,Raven.Database.Server.HttpServer,Debug,,"Request #  23: GET     - 1,490 ms - EmberTinkererDB - 200 - /silverlight/ensureStartup?noCache=-387683409",
2013-09-09 00:09:16.1299,Raven.Database.Server.HttpServer,Debug,,Request #  24: GET     -     1 ms - <system>   - 200 - /changes/config?id=1/Pr0WL&command=unwatch-docs&noCache=1406692060,
2013-09-09 00:09:16.1569,Raven.Database.Server.HttpServer,Debug,,Request #  25: GET     -     1 ms - <system>   - 200 - /changes/config?id=1/Pr0WL&command=unwatch-indexes&noCache=826712219,
2013-09-09 00:09:16.1679,Raven.Database.Server.HttpServer,Debug,EmberTinkererDB,Request #  26: GET     -     1 ms - EmberTinkererDB - 200 - /changes/events?id=2/1PZYsZ,
2013-09-09 00:09:16.1909,Raven.Database.Server.HttpServer,Debug,,Request #  27: GET     -    10 ms - <system>   - 200 - /changes/config?id=1/Pr0WL&command=disconnect&noCache=1283783078,
2013-09-09 00:09:16.2379,Raven.Database.Server.HttpServer,Debug,,Request #  28: GET     -     1 ms - EmberTinkererDB - 404 - /docs/Raven/Alerts?noCache=1808016777,
2013-09-09 00:09:16.2389,Raven.Database.Server.HttpServer,Debug,,Request #  29: GET     -     8 ms - <system>   - 200 - /changes/config?id=1/Pr0WL&command=unwatch-indexes&noCache=-629542999,
2013-09-09 00:09:16.2589,Raven.Database.Server.HttpServer,Debug,,Request #  30: GET     -    29 ms - <system>   - 200 - /docs/Raven/Databases/EmberTinkererDB?noCache=-403558526,
2013-09-09 00:09:16.2719,Raven.Database.Server.HttpServer,Debug,,Request #  31: GET     -     3 ms - EmberTinkererDB - 200 - /silverlight/ensureStartup?noCache=1726676079,
2013-09-09 00:09:16.2719,Raven.Database.Server.HttpServer,Debug,,Request #  32: GET     -     0 ms - <system>   - 200 - /changes/config?id=1/Pr0WL&command=disconnect&noCache=-1080335688,
2013-09-09 00:09:16.3559,Raven.Database.Server.HttpServer,Debug,,Request #  33: GET     -     0 ms - EmberTinkererDB - 200 - /changes/config?id=2/1PZYsZ&command=watch-doc&value=Raven/Alerts&noCache=1254996998,
2013-09-09 00:09:16.3699,Raven.Database.Server.HttpServer,Debug,,Request #  34: GET     -     0 ms - EmberTinkererDB - 200 - /changes/config?id=2/1PZYsZ&command=watch-docs&noCache=73940449,
2013-09-09 00:09:16.3819,Raven.Database.Server.Abstractions.HttpListenerContextAdpater,Info,,Failed to close response,"System.AggregateException: One or more errors occurred. ---> System.Net.HttpListenerException: An operation was attempted on a nonexistent network connection
   at System.Net.HttpResponseStream.Dispose(Boolean disposing)
   at System.IO.Stream.Close()
   at Raven.Database.Util.Streams.BufferPoolStream.Dispose(Boolean disposing) in c:\Builds\RavenDB-Stable\Raven.Database\Util\Streams\BufferPoolStream.cs:line 144
   at System.IO.Stream.Close()
   at Raven.Database.Impl.ExceptionAggregator.Execute(Action action) in c:\Builds\RavenDB-Stable\Raven.Database\Impl\ExceptionAggregator.cs:line 25
   --- End of inner exception stack trace ---
---> (Inner Exception #0) System.Net.HttpListenerException (0x80004005): An operation was attempted on a nonexistent network connection
   at System.Net.HttpResponseStream.Dispose(Boolean disposing)
   at System.IO.Stream.Close()
   at Raven.Database.Util.Streams.BufferPoolStream.Dispose(Boolean disposing) in c:\Builds\RavenDB-Stable\Raven.Database\Util\Streams\BufferPoolStream.cs:line 144
   at System.IO.Stream.Close()
   at Raven.Database.Impl.ExceptionAggregator.Execute(Action action) in c:\Builds\RavenDB-Stable\Raven.Database\Impl\ExceptionAggregator.cs:line 25<---
"
2013-09-09 00:09:16.3699,Raven.Database.Server.HttpServer,Debug,,Request #  35: GET     -     1 ms - EmberTinkererDB - 200 - /changes/config?id=2/1PZYsZ&command=watch-indexes&noCache=-503292373,
2013-09-09 00:09:16.3819,Raven.Database.Server.HttpServer,Debug,,Request #  37: GET     -   138 ms - EmberTinkererDB - 200 - /stats?noCache=-1625209152,
2013-09-09 00:09:16.3819,Raven.Database.Server.HttpServer,Debug,,Request #  36: GET     -   159 ms - EmberTinkererDB - 200 - /stats?noCache=-2057243202,
2013-09-09 00:09:16.4269,Raven.Database.Server.HttpServer,Debug,,Request #  39: GET     -     0 ms - EmberTinkererDB - 200 - /changes/config?id=2/1PZYsZ&command=watch-indexes&noCache=-838821039,
2013-09-09 00:09:16.4239,Raven.Database.Server.HttpServer,Debug,,Request #  38: GET     -     0 ms - EmberTinkererDB - 200 - /changes/config?id=2/1PZYsZ&command=watch-docs&noCache=-1000890217,
2013-09-09 00:09:16.5159,Raven.Database.Server.HttpServer,Debug,,Request #  40: GET     -    37 ms - <system>   - 200 - /stats?noCache=-317429831,
2013-09-09 00:09:25.2748,Raven.Database.Server.HttpServer,Debug,,Error when using events transport,"System.AggregateException: One or more errors occurred. ---> System.ObjectDisposedException: Cannot access a disposed object.
Object name: 'System.Net.HttpListenerResponse'.
   at System.Net.HttpListenerResponse.CheckDisposed()
   at Raven.Database.Server.Abstractions.HttpListenerResponseAdapter.WriteAsync(String data) in c:\Builds\RavenDB-Stable\Raven.Database\Server\Abstractions\HttpListenerResponseAdapter.cs:line 130
   --- End of inner exception stack trace ---
---> (Inner Exception #0) System.ObjectDisposedException: Cannot access a disposed object.
Object name: 'System.Net.HttpListenerResponse'.
   at System.Net.HttpListenerResponse.CheckDisposed()
   at Raven.Database.Server.Abstractions.HttpListenerResponseAdapter.WriteAsync(String data) in c:\Builds\RavenDB-Stable\Raven.Database\Server\Abstractions\HttpListenerResponseAdapter.cs:line 130<---
"
